year,country,track,genre_count,popularity,genres,has_eurovision,has_only_eurovision,year_country
2010,Germany,Satellite,2,1,eurovision$$$german pop,1,0,2010-Germany
2010,Turkey,We Could Be The Same - Turkey,1,0,turkish rock,0,0,2010-Turkey
2010,Romania,Playing With Fire,1,0,eurovision,1,1,2010-Romania
2010,Denmark,In A Moment Like This,0,38,,0,0,2010-Denmark
2010,Azerbaijan,Drip Drop,2,35,azeri pop$$$eurovision,1,0,2010-Azerbaijan
2010,Belgium,Me And My Guitar,1,0,eurovision,1,1,2010-Belgium
2010,Armenia,Apricot Stone - Armenia,1,0,eurovision,1,1,2010-Armenia
2010,Greece,Opa,2,0,greek pop$$$laiko,0,0,2010-Greece
2010,Georgia,Shine,0,25,,0,0,2010-Georgia
2010,Ukraine,Sweet People,1,27,ukrainian pop,0,0,2010-Ukraine
2010,Russia,Lost And Forgotten - Russia,0,0,,0,0,2010-Russia
2010,France,Allez Ola Olé,2,52,francoton$$$french pop,0,0,2010-France
2010,Serbia,Ovo je Balkan (This Is The Balkans) - Serbia,1,0,turbo folk,0,0,2010-Serbia
2010,Israel,Milim,2,0,eurovision$$$israeli pop,1,0,2010-Israel
2010,Spain,Algo pequeñito,1,30,eurovision,1,1,2010-Spain
2010,Albania,It's All About You - Albania,1,0,albanian pop,0,0,2010-Albania
2010,Bosnia & Herzegovina,Thunder And Lightning - Bosnia & Herzegovina,0,0,,0,0,2010-Bosnia & Herzegovina
2010,Portugal,Há Dias Assim - Portugal,0,0,,0,0,2010-Portugal
2010,Iceland,Je Ne Sais Quoi (Eurovision 2010) Orginal Version,2,36,eurovision$$$icelandic pop,1,0,2010-Iceland
2010,Norway,My Heart Is Yours,0,0,,0,0,2010-Norway
2010,Cyprus,Life Looks Better In Spring,0,0,,0,0,2010-Cyprus
2010,Moldova,Run Away - Radio Edit,2,52,eurovision$$$moldovan pop,1,0,2010-Moldova
2010,Ireland,It's For You,0,0,,0,0,2010-Ireland
2010,Belarus,Butterflies - Belarus,0,0,,0,0,2010-Belarus
2010,United Kingdom,That Sounds Good To Me - United Kingdom,0,0,,0,0,2010-United Kingdom
2010,Sweden,This Is My Life,3,1,europop$$$eurovision$$$swedish pop,1,0,2010-Sweden
2010,Finland,Työlki ellää - Remix,0,17,,0,0,2010-Finland
2010,Malta,My Dream - ESC 2010,1,12,eurovision,1,1,2010-Malta
2010,Lithuania,Eastern European Funk,0,24,,0,0,2010-Lithuania
2010,Poland,Legenda - Poland,1,0,eurovision,1,1,2010-Poland
2010,Croatia,Lako Je Sve,1,19,croatian pop,0,0,2010-Croatia
2010,Estonia,Siren,1,17,estonian pop,0,0,2010-Estonia
2010,Netherlands,Ik Ben Verliefd (sha - La - Lie),1,37,carnaval,0,0,2010-Netherlands
2010,North Macedonia,Jas Ja Imam Silata - FYR Macedonia,0,0,,0,0,2010-North Macedonia
2010,Bulgaria,Angel Si Ti (You Are An Angel) - Bulgaria,0,0,,0,0,2010-Bulgaria
2010,Slovakia,Horehronie,1,33,slovak pop,0,0,2010-Slovakia
2010,Slovenia,Narodnozabavni Rock - Slovakia,0,0,,0,0,2010-Slovenia
2010,Latvia,What For? - Radio Edit,0,19,,0,0,2010-Latvia
2010,Switzerland,Il pleut de l'or - Switzerland,1,0,swiss pop,0,0,2010-Switzerland
2011,Azerbaijan,Running Scared,2,33,azeri pop$$$eurovision,1,0,2011-Azerbaijan
2011,Itally,Madness Of Love,0,25,,0,0,2011-Itally
2011,Sweden,Popular,2,28,europop$$$swedish pop,0,0,2011-Sweden
2011,Angel,Ангел,1,18,russian pop,0,0,2011-Angel
2011,Denmark,New Tomorrow,1,0,danish pop rock,0,0,2011-Denmark
2011,Bosnia & Herzegovina,Love In Rewind,3,27,sevdah$$$turbo folk$$$yugoslav rock,0,0,2011-Bosnia & Herzegovina
2011,Georgia,One More Day,0,25,,0,0,2011-Georgia
2011,Ireland,Lipstick - Radio Edit,1,41,eurovision,1,1,2011-Ireland
2011,Germany,Taken By A Stranger - Single Version,2,0,eurovision$$$german pop,1,0,2011-Germany
2011,United Kingdom,I Can - Radio Edit,3,34,boy band$$$dance pop$$$europop,0,0,2011-United Kingdom
2011,Russia,Get You,0,23,,0,0,2011-Russia
2011,Finland,Da Da Dam,1,28,finlandssvenska musik,0,0,2011-Finland
2011,France,Sognu,1,22,operatic pop,0,0,2011-France
2011,Hungary,What about my dreams? - Eurovision Edit (Hunglish),2,24,eurovision$$$hungarian pop,1,0,2011-Hungary
2011,Estonia,Rockefeller Street,1,48,estonian pop,0,0,2011-Estonia
2011,Slovenia,No One,1,28,slovenian pop,0,0,2011-Slovenia
2011,Switzerland,In Love For A While - Radio Version,2,24,swiss indie$$$swiss pop,0,0,2011-Switzerland
2011,Norway,Haba Haba - Eurovision 2011 - Norway,2,39,kenyan pop$$$norwegian hip hop,0,0,2011-Norway
2011,Poland,Jestem - Bonus Track,0,24,,0,0,2011-Poland
2011,Austria,The Secret is Love,0,18,,0,0,2011-Austria
2011,Spain,Que me quiten lo bailao,1,19,galician indie,0,0,2011-Spain
2011,Greece,Watch My Dance,1,27,cypriot pop,0,0,2011-Greece
2011,Moldova,So Lucky,3,0,gypsy punk$$$moldovan pop$$$romanian rock,0,0,2011-Moldova
2011,Iceland,Coming Home (Iceland´s Official Esc Entry 2011),0,24,,0,0,2011-Iceland
2011,Albania,Kënga Ime,1,0,albanian pop,0,0,2011-Albania
2011,Malta,One Life - Main Pass,0,18,,0,0,2011-Malta
2011,Netherlands,Never Alone,3,22,dutch pop$$$dutch rock$$$levenslied,0,0,2011-Netherlands
2011,Senit,Stand By - English Version,0,18,,0,0,2011-Senit
2011,Belgium,With Love Baby,0,16,,0,0,2011-Belgium
